series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,888441,HYPERCAR-11,9,9,381,86370.21876383811,35,2518.9235232821197,488.00000000000006,41,0,0,-4.180588284987607,1,-15.566003548519802
wec,Le Mans 24 2026,track_position,HYPERCAR,5,888441,HYPERCAR-11,10,10,381,86382.07093138399,34,2505.9238697336,472.8,41,-1,0,-16.032755830863607,0,-2.5663500000000568
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,888441,HYPERCAR-11,9,9,381,86352.64272708721,35,2490.039289185429,472.00000000000006,41,0,0,13.39544846591889,1,13.318230548170959
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,888441,HYPERCAR-11,11,11,381,86385.30801056928,34,2505.9238697336,486.40000000000003,41,-2,0,-19.269835016151774,0,-2.5663500000000568
wec,Le Mans 24 2026,agent,HYPERCAR,5,888441,HYPERCAR-11,18,37,361,86362.81026226869,163,8386.424721543262,252.8,44,-9,-20,3.227913284441456,129,-5883.067201809663
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,758701,HYPERCAR-07,12,12,385,86190.02084849101,35,2647.1929180720526,543.2,28,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,758701,HYPERCAR-07,8,8,386,86308.30948841457,35,2626.1488480720523,516.8000000000001,27,4,1,-118.28863992355764,0,21.044070000000374
wec,Le Mans 24 2026,track_position,HYPERCAR,5,758701,HYPERCAR-07,13,13,385,86220.28578047169,35,2647.1929180720526,573.6,28,-1,0,-30.264931980680558,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,758701,HYPERCAR-07,12,12,386,86382.74590550268,36,2631.499855023167,544.8000000000001,28,0,1,-192.72505701167393,1,15.693063048885506
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,758701,HYPERCAR-07,12,12,385,86190.02084849101,35,2647.1929180720526,543.2,28,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,758701,HYPERCAR-07,18,37,359,86164.60665786517,179,9060.103149922152,180.00000000000003,29,-6,-26,25.41419062584464,144,-6412.910231850099
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,277477,HYPERCAR-17,4,4,381,86194.72542022988,35,2625.351101616495,476.00000000000006,37,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,277477,HYPERCAR-17,7,7,381,86344.3971538931,36,2650.3446982780706,485.6,37,-3,0,-149.67173366321367,1,-24.993596661575793
wec,Le Mans 24 2026,track_position,HYPERCAR,5,277477,HYPERCAR-17,3,3,382,86372.46863503044,34,2597.2848864456228,482.40000000000003,37,1,1,-177.74321480056096,-1,28.066215170872056
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,277477,HYPERCAR-17,4,4,381,86159.81531523712,36,2607.550286445623,479.20000000000005,37,0,0,34.910104992755805,1,17.80081517087183
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,277477,HYPERCAR-17,4,4,381,86194.72542022988,35,2625.351101616495,476.00000000000006,37,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,277477,HYPERCAR-17,18,37,355,86211.06527683213,181,9224.029871729581,189.60000000000002,42,-14,-26,-16.33985660225153,146,-6598.678770113086
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,519438,HYPERCAR-03,4,4,380,86225.97710995165,35,2454.8405802413736,507.20000000000005,37,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,519438,HYPERCAR-03,3,3,380,86185.62701620403,36,2434.4558374090157,468.00000000000006,38,1,0,40.35009374762012,1,20.384742832357915
wec,Le Mans 24 2026,track_position,HYPERCAR,5,519438,HYPERCAR-03,4,4,380,86204.2805411803,35,2459.9732802413732,490.40000000000003,37,0,0,21.69656877135276,0,-5.132699999999659
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,519438,HYPERCAR-03,3,3,380,86193.15142310793,35,2419.5312530090664,512.0,37,1,0,32.82568684371654,0,35.30932723230717
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,519438,HYPERCAR-03,4,4,380,86225.97710995165,35,2454.8405802413736,507.20000000000005,37,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,519438,HYPERCAR-03,18,37,357,86277.82227624711,185,9212.921281939436,228.00000000000003,41,-14,-23,-51.84516629546124,150,-6758.0807016980625
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,385380,HYPERCAR-03,3,3,385,86286.45788527069,36,2713.135005959405,512.8000000000001,29,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,385380,HYPERCAR-03,3,3,385,86275.46992301883,37,2733.678120611476,531.2,29,0,0,10.987962251863792,1,-20.543114652070926
wec,Le Mans 24 2026,track_position,HYPERCAR,5,385380,HYPERCAR-03,12,12,384,86184.1951312525,36,2713.135005959405,537.6,29,-9,-1,102.26275401818566,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,385380,HYPERCAR-03,1,1,385,86242.03299863066,36,2667.339612480021,515.2,29,2,0,44.42488664003031,0,45.795393479384074
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,385380,HYPERCAR-03,12,12,384,86181.32617774062,36,2713.135005959405,535.2,29,-9,-1,105.1317075300758,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,385380,HYPERCAR-03,18,37,364,86174.13673269417,158,8160.971611188666,292.0,31,-15,-21,112.32115257652185,122,-5447.836605229261
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,896917,HYPERCAR-11,7,7,379,86264.54338595415,35,2564.6782941089496,516.8000000000001,40,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,896917,HYPERCAR-11,7,7,379,86253.18609024104,38,2678.353599283449,495.20000000000005,39,0,0,11.357295713110943,3,-113.6753051744995
wec,Le Mans 24 2026,track_position,HYPERCAR,5,896917,HYPERCAR-11,10,10,379,86373.92107264456,36,2606.531907195491,540.0,40,-3,0,-109.37768669040815,1,-41.85361308654137
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,896917,HYPERCAR-11,7,7,379,86217.85650287702,35,2519.4069641276883,516.8000000000001,40,0,0,46.68688307712728,0,45.27132998126126
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,896917,HYPERCAR-11,7,7,379,86264.54338595415,35,2564.6782941089496,516.8000000000001,40,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,896917,HYPERCAR-11,18,37,357,86349.21231815462,166,8337.70384828694,224.00000000000003,44,-11,-22,-84.66893220046768,131,-5773.02555417799
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,287643,HYPERCAR-07,9,9,391,86494.91853422251,37,2634.7568132891915,564.0,16,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,287643,HYPERCAR-07,9,9,391,86494.91853422251,37,2634.7568132891915,564.0,16,0,0,0.0,0,0.0
wec,Le Mans 24 2026,track_position,HYPERCAR,5,287643,HYPERCAR-07,9,9,391,86446.91245238735,37,2636.2966232891918,572.0,18,0,0,48.00608183516306,0,-1.539810000000216
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,287643,HYPERCAR-07,7,7,391,86406.61822593842,37,2600.319185544535,562.4000000000001,16,2,0,88.3003082840878,0,34.437627744656766
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,287643,HYPERCAR-07,9,9,391,86494.9084805784,37,2634.7568132891915,560.8000000000001,16,0,0,0.010053644116851501,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,287643,HYPERCAR-07,18,37,364,86413.29041303042,178,8861.085563752513,283.20000000000005,17,-9,-27,81.62812119208684,141,-6226.328750463321
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,409401,HYPERCAR-14,4,4,392,86371.59383603271,37,2494.2254361667983,612.0,18,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,409401,HYPERCAR-14,3,3,392,86284.42965975766,37,2482.3175721667985,556.8000000000001,15,1,0,87.16417627505143,0,11.90786399999979
wec,Le Mans 24 2026,track_position,HYPERCAR,5,409401,HYPERCAR-14,4,4,392,86376.60208384179,37,2496.7917861667984,576.8000000000001,18,0,0,-5.008247809077147,0,-2.5663500000000568
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,409401,HYPERCAR-14,4,4,392,86380.3058987572,38,2499.630269904903,619.2,18,0,0,-8.712062724487623,1,-5.404833738104571
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,409401,HYPERCAR-14,4,4,392,86370.58387667304,37,2494.2254361667983,584.0,18,0,0,1.009959359667846,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,409401,HYPERCAR-14,18,37,363,86184.58310095382,183,8934.896152238865,268.8,19,-14,-29,187.0107350788894,146,-6440.670716072067
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,714202,HYPERCAR-07,4,4,376,86296.35434417693,34,2540.3146284089353,444.0,42,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,714202,HYPERCAR-07,8,8,375,86205.16539906943,36,2581.206642437252,461.6,42,-4,-1,91.18894510749669,2,-40.89201402831668
wec,Le Mans 24 2026,track_position,HYPERCAR,5,714202,HYPERCAR-07,3,3,376,86284.2149946039,34,2540.7252444089354,462.40000000000003,41,1,0,12.139349573029904,0,-0.4106160000001182
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,714202,HYPERCAR-07,3,3,376,86284.38879351623,35,2528.780183939954,446.40000000000003,42,1,0,11.965550660694134,1,11.534444468981292
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,714202,HYPERCAR-07,4,4,376,86296.35434417693,34,2540.3146284089353,444.0,42,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,714202,HYPERCAR-07,18,37,353,86283.10366457152,183,9112.213240140576,234.4,46,-14,-23,13.25067960540764,149,-6571.898611731641
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,300023,HYPERCAR-04,8,8,390,86231.22349605478,36,2688.806355038708,588.8000000000001,17,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,300023,HYPERCAR-04,3,3,391,86362.67288111792,38,2762.2114493976874,534.4000000000001,16,5,1,-131.44938506314065,2,-73.40509435897957
wec,Le Mans 24 2026,track_position,HYPERCAR,5,300023,HYPERCAR-04,8,8,391,86295.75026702943,36,2688.806355038708,570.4000000000001,17,0,1,-64.52677097465494,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,300023,HYPERCAR-04,8,8,390,86188.6809060479,36,2655.8487594974863,582.4000000000001,17,0,0,42.542590006880346,0,32.95759554122151
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,300023,HYPERCAR-04,8,8,390,86231.22349605478,36,2688.806355038708,588.8000000000001,17,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,300023,HYPERCAR-04,18,37,363,86340.21752838662,176,9222.12556807764,259.2,17,-10,-27,-108.99403233184421,140,-6533.319213038932
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,526034,HYPERCAR-07,3,3,391,86261.67364466038,38,2637.003452361356,515.2,14,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,526034,HYPERCAR-07,3,3,391,86261.67364466038,38,2637.003452361356,515.2,14,0,0,0.0,0,0.0
wec,Le Mans 24 2026,track_position,HYPERCAR,5,526034,HYPERCAR-07,3,3,391,86261.7194995844,38,2639.569802361356,520.8000000000001,14,0,0,-0.04585492402839009,0,-2.5663500000000568
