multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,150213,GTP-01,11,11,729,86335.91347206722,29,1978.2578269080523,752.0,220,-3,0,27.152555940512684,5,-168.16978643744574
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,150213,GTP-01,5,5,729,86298.70447827861,24,1830.9238444706066,702.4000000000001,219,3,0,64.36154972911754,0,-20.835804000000053
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,150213,GTP-01,8,8,729,86363.06602800773,24,1810.0880404706065,701.6,223,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,150213,GTP-01,1,1,730,86376.64871512857,24,1804.5198514706067,693.6,220,7,1,-13.582687120841001,0,5.5681889999998475
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,150213,GTP-01,11,11,730,86368.06830959469,55,2720.9416258442247,756.0,219,-3,1,-5.002281586959725,31,-910.8535853736182
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,377395,GTP-03,7,7,747,86318.47042297406,25,2123.2504861645857,840.0000000000001,189,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,377395,GTP-03,1,1,747,86329.83495313894,26,2053.6773890272384,840.8000000000001,188,6,0,-11.364530164879397,1,69.5730971373473
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,377395,GTP-03,1,1,747,86348.68044438605,24,2098.516082931351,703.2,192,6,0,-30.210021411985508,-1,24.734403233234843
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,377395,GTP-03,5,5,748,86394.56009903761,25,2098.3835613895853,834.4000000000001,189,2,1,-76.08967606355145,0,24.86692477500037
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,377395,GTP-03,11,11,746,86364.68601581646,25,2126.3938186645855,808.8000000000001,187,-4,-1,-46.21559284240357,0,-3.143332499999815
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,377395,GTP-03,5,5,746,86306.27212892137,87,3803.5867490631204,792.8000000000001,185,2,-1,12.19829405269411,62,-1680.3362628985346
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,591184,GTP-03,8,8,707,86373.5539199471,23,1733.0934805304028,636.0,263,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,591184,GTP-03,11,11,707,86342.6480181854,26,1889.938739702379,588.0,261,-3,0,30.90590176169644,3,-156.8452591719763
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,591184,GTP-03,9,9,707,86384.09315584593,23,1751.6840470304028,640.8000000000001,261,-1,0,-10.539235898831976,0,-18.590566500000023
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,591184,GTP-03,8,8,707,86373.5539199471,23,1733.0934805304028,636.0,263,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,591184,GTP-03,9,9,707,86376.2519273519,23,1746.3852865304027,616.8000000000001,262,-1,0,-2.6980074048042297,0,-13.291805999999951
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,591184,GTP-03,11,11,707,86414.37871074934,50,2486.559869623577,619.2,260,-3,0,-40.82479080224584,27,-753.4663890931743
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,175200,GTP-09,1,1,792,86334.22858797887,27,1990.8365087343911,1016.0000000000001,106,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,175200,GTP-09,9,9,791,86303.22736931272,30,2145.5302036350254,991.2,109,-8,-1,31.001218666147906,3,-154.69369490063423
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,175200,GTP-09,2,2,793,86343.7103382067,27,2010.5945987343912,900.0000000000001,108,-1,1,-9.481750227831071,0,-19.75809000000004
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,175200,GTP-09,6,6,791,86324.1162356053,28,2022.4622666666946,1018.4000000000001,107,-5,-1,10.11235237357323,1,-31.625757932303486
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,175200,GTP-09,4,4,792,86335.88314214881,27,2006.5531712343911,971.2,111,-3,0,-1.654554169945186,0,-15.716662499999984
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,175200,GTP-09,9,9,791,86329.67771148102,54,2978.9107474470634,971.2,106,-8,-1,4.550876497844001,27,-988.0742387126722
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,578871,GTP-09,9,9,709,86346.72428677465,24,1957.851455108298,590.4000000000001,254,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,578871,GTP-09,1,1,711,86333.3126283437,29,1983.5110573278973,609.6,254,8,2,13.41165843095223,5,-25.659602219599265
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,578871,GTP-09,3,3,710,86384.46225821719,22,1827.6342276467083,559.2,255,6,1,-37.73797144253331,-2,130.2172274615898
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,578871,GTP-09,3,3,709,86313.98788500522,25,1942.804354710327,596.8000000000001,254,6,0,32.73640176943445,1,15.047100397971008
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,578871,GTP-09,9,9,709,86346.72428677465,24,1957.851455108298,590.4000000000001,254,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,578871,GTP-09,1,1,711,86409.42246137554,67,2995.932937035034,628.8000000000001,256,8,2,-62.69817460088234,43,-1038.0814819267357
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,325700,GTP-10,9,9,819,86422.0666602896,29,2596.3476552899806,1160.0,55,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,325700,GTP-10,6,6,818,86413.45558121505,33,2746.6493430448554,1081.6000000000001,54,3,-1,8.61107907454425,4,-150.30168775487482
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,325700,GTP-10,11,11,818,86326.48514558973,28,2542.309847866527,1015.2,54,-2,-1,95.58151469986478,-1,54.037807423453614
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,325700,GTP-10,9,9,819,86422.04331135043,29,2572.4383415820084,1160.0,55,0,0,0.023348939168499783,0,23.90931370797216
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,325700,GTP-10,11,11,818,86301.21479396445,28,2533.508516866527,1091.2,56,-2,-1,120.85186632514524,-1,62.83913842345373
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,325700,GTP-10,8,8,819,86401.46453437422,47,3051.3462956379403,1121.6000000000001,50,1,0,20.602125915378565,18,-454.99864034795974
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,249170,GTP-11,2,2,760,86367.15743529651,25,1994.7203285302814,970.4000000000001,162,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,249170,GTP-11,1,1,760,86339.61848548731,28,2036.7257312395357,975.2,162,1,0,27.53894980919722,3,-42.00540270925421
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,249170,GTP-11,1,1,760,86372.87386449618,25,2003.7012785302816,988.0000000000001,162,1,0,-5.716429199674167,0,-8.98095000000012
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,249170,GTP-11,1,1,760,86342.29616907865,26,1995.1830184775827,944.0000000000001,162,1,0,24.861266217863886,1,-0.4626899473012145
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,249170,GTP-11,2,2,760,86367.15743529651,25,1994.7203285302814,970.4000000000001,162,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,249170,GTP-11,1,1,760,86384.41878472417,78,3493.2921868229437,943.2,160,1,0,-17.261349427659297,53,-1498.5718582926622
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,306604,GTP-03,4,4,703,86381.55600225467,23,1657.3977713882184,598.4000000000001,265,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,306604,GTP-03,9,9,703,86450.11042722805,29,1879.0387941427527,656.8000000000001,268,-5,0,-68.55442497337935,6,-221.64102275453433
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,306604,GTP-03,2,2,704,86440.11584995105,21,1591.2757871809893,610.4000000000001,269,2,1,-58.55984769637871,-2,66.12198420722916
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,306604,GTP-03,4,4,703,86381.55600225467,23,1657.3977713882184,598.4000000000001,265,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,306604,GTP-03,4,4,703,86381.55602185256,23,1659.6430088882184,606.4000000000001,265,0,0,-1.9597893697209656e-05,0,-2.24523750000003
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,306604,GTP-03,11,11,704,86425.98289900547,75,3177.989098262415,542.4000000000001,269,-7,1,-44.426896750796004,52,-1520.5913268741967
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,483288,GTP-11,10,10,760,86352.57807001163,24,1966.67737637497,859.2,169,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,483288,GTP-11,5,5,759,86311.53505445276,31,2187.3993296089147,894.4000000000001,168,5,-1,41.04301555886923,7,-220.72195323394476
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,483288,GTP-11,7,7,758,86325.31272676811,24,1919.43757937497,851.2,166,3,-2,27.265343243518146,0,47.23979699999995
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,483288,GTP-11,10,10,760,86352.57807001163,24,1966.67737637497,859.2,169,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,483288,GTP-11,4,4,761,86360.75423930825,24,1941.4409068749699,848.0,170,6,1,-8.176169296624721,0,25.236469500000112
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,483288,GTP-11,11,11,759,86339.03506098913,62,3036.796739251752,937.6,165,-1,-1,13.543009022498154,38,-1070.1193628767821
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,271636,GTP-10,9,9,743,86305.56620382522,25,1962.725629471149,776.8000000000001,194,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,271636,GTP-10,2,2,745,86322.22046234047,29,2037.2142834434403,740.0,193,7,2,-16.65425851524924,4,-74.48865397229133
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,271636,GTP-10,7,7,745,86363.27940958581,25,1995.236668471149,756.0,195,2,2,-57.713205760592245,0,-32.51103899999998
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,271636,GTP-10,10,10,743,86315.07523702049,27,1988.8558273085596,759.2,194,-1,0,-9.509033195266966,2,-26.130197837410606
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,271636,GTP-10,3,3,744,86341.07043525916,25,1968.114199471149,738.4000000000001,194,6,1,-35.50423143393709,0,-5.3885700000000725
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,271636,GTP-10,10,10,744,86318.42792438476,65,3032.1234117355048,798.4000000000001,194,-1,1,-12.86172055953648,40,-1069.3977822643558
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,7803,GTP-05,4,4,767,86296.56079307075,27,2132.750932872005,887.2,151,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,7803,GTP-05,6,6,767,86340.24923297108,29,2167.8806858793346,934.4000000000001,150,-2,0,-43.688439900332014,2,-35.12975300732978
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,7803,GTP-05,5,5,767,86364.79843686687,26,2137.3396859829313,905.6,151,-1,0,-68.23764379612112,-1,-4.588753110926518
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,7803,GTP-05,1,1,768,86380.58426602941,27,2127.878818206183,883.2,152,3,1,-84.02347295866639,0,4.872114665821755
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,7803,GTP-05,3,3,768,86430.02552727691,25,2053.839458801817,905.6,151,1,1,-133.4647342061653,-2,78.91147407018798
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,7803,GTP-05,1,1,769,86409.20071068924,49,2608.627272197222,811.2,148,3,2,-112.6399176184932,22,-475.87633932521703
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,772919,GTP-10,10,10,734,86406.09899985012,24,1973.2195418096553,708.8000000000001,220,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,772919,GTP-10,8,8,733,86399.42908207342,28,2129.0697207460826,723.2,218,2,-1,6.6699177767004585,4,-155.85017893642726
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,772919,GTP-10,4,4,733,86386.84117268346,24,1966.3042103096554,780.8000000000001,215,6,-1,19.25782716665708,0,6.915331499999866
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,772919,GTP-10,10,10,734,86405.87370179164,24,1972.9364365995475,708.8000000000001,220,0,0,0.2252980584744364,0,0.28310521010780576
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,772919,GTP-10,5,5,734,86382.51585763208,24,1979.4163973096554,693.6,218,5,0,23.58314221803448,0,-6.196855500000083
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,772919,GTP-10,11,19,734,86425.16431736705,65,3142.571024482489,816.0000000000001,219,-1,0,-19.06531751692819,41,-1169.3514826728338
