multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,967710,HYPERCAR-18,3,3,392,86287.66082973605,37,2619.3094284179792,452.00000000000006,16,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,967710,HYPERCAR-18,18,18,388,86309.16185490957,120,3702.863885648515,417.6,18,-15,-4,-21.501025173522066,83,-1083.5544572305357
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,596591,HYPERCAR-07,4,4,389,86285.6227795914,36,2599.6574163759497,520.8000000000001,20,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,596591,HYPERCAR-07,3,3,389,86246.29369568685,36,2577.880312880266,551.2,20,1,0,39.329083904551226,0,21.777103495683605
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,596591,HYPERCAR-07,14,14,387,86360.23319133212,36,2671.3752488069445,524.8000000000001,24,-10,-2,-74.61041174072307,0,-71.7178324309948
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,596591,HYPERCAR-07,2,2,389,86244.40346957404,36,2556.2075477284147,524.8000000000001,20,2,0,41.21931001736084,0,43.44986864753491
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,596591,HYPERCAR-07,6,6,389,86355.12327006734,36,2623.6091103175263,518.4000000000001,23,-2,0,-69.50049047594075,0,-23.95169394157665
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,596591,HYPERCAR-07,18,18,385,86175.03841967297,106,3550.78405007548,505.6,23,-14,-4,110.58435991842998,70,-951.1266336995304
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,154210,HYPERCAR-06,5,5,389,86190.03940112003,37,2762.7941826019046,457.6,23,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,154210,HYPERCAR-06,3,3,389,86178.62636485751,39,2779.414291403457,464.00000000000006,23,2,0,11.413036262514652,2,-16.620108801552306
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,154210,HYPERCAR-06,7,7,389,86333.06797490914,37,2763.8207226019044,470.40000000000003,23,-2,0,-143.02857378910994,0,-1.0265399999998408
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,154210,HYPERCAR-06,3,3,390,86497.18888324586,37,2735.8475076019045,448.00000000000006,24,2,1,-307.1494821258384,0,26.94667500000014
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,154210,HYPERCAR-06,5,5,389,86190.03940112003,37,2762.7941826019046,457.6,23,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,154210,HYPERCAR-06,18,18,386,86369.04133597156,112,3568.572729850446,435.20000000000005,23,-13,-3,-179.00193485153432,75,-805.7785472485416
